"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"은평구","학원","3000030990","이리담학원","서울특별시 은평구 백련산로 38","/ 상가동3/ 203/ 205호 / 백련산 힐스테이트 2차 (응암동)","입시.검정 및 보습","보통교과","보습/","보습","73","80","","Y","N","03477","개원","20180126","","","20180126","20220508"
"은평구","학원","3000030991","모티베이터영수학원","서울특별시 은평구 불광로 128","/ 배진하우스 2층 (불광동)","입시.검정 및 보습","보통교과","","보습","14","70","","Y","N","03362","개원","20180122","","","20180122","20220508"
"강남구","학원","3000030992","공터영어대치센터학원","서울특별시 강남구 삼성로 319","/ 6층 (대치동/ 금강빌딩)","입시.검정 및 보습","보통교과","보습?논술/","보습?논술","187","77","","Y","N","06203","개원","20180131","","","20180131","20220508"
"은평구","학원","3000030993","브레이니리딩영어학원","서울특별시 은평구 은평로8길 22","/ 은평빌딩 3층 (응암동)","입시.검정 및 보습","보통교과","보습/","보습","60","75","","Y","N","03454","개원","20180122","","","20180122","20220508"
"은평구","학원","3000030994","사고력수학소마학원","서울특별시 은평구 백련산로 38","/ 상가동3 210/ 212호 (응암동/ 백련산 힐스테이트 2차)","입시.검정 및 보습","보통교과","보습/","보습","10","80","","Y","N","03477","개원","20180105","","","20180105","20220508"
"은평구","학원","3000030996","수학공간학원","서울특별시 은평구 백련산로 38","/ 백련산힐스테이트 2차  상가동3/ 206/ 207/ 208호 (응암동)","입시.검정 및 보습","보통교과","보습/","보습","50","70","","Y","N","03477","개원","20180104","","","20180104","20220508"
"도봉구","학원","3000031004","강한영어아는영어황쌤영어학원","서울특별시 도봉구 방학로 31-16","/ 5층 (방학동)","입시.검정 및 보습","보통교과","","보습","30","69","","Y","N","01407","개원","20180205","","","20180205","20220508"
"도봉구","교습소","3000031007","하연과학교습소","서울특별시 도봉구 도봉로136가길 73","/ 북한산한신휴플러스 104동 116호 (창동)","입시.검정 및 보습","보통교과","","보습","42","8","초등과학:1/ 초등A:45000/ 초등B:50000/ 초등C:55000/ 초등D:35000/ 중등A:85000/ 중등B:105000","Y","N","01400","개원","20180206","","","20180206","20220508"
"중랑구","학원","3000031010","한스아카데미학원","서울특별시 중랑구 봉화산로 234","/ 2층 (신내동)","입시.검정 및 보습","보통교과","보습?논술/","보습?논술","78","79","","Y","N","02067","개원","20180206","","","20180206","20220508"
"강남구","교습소","3000031011","전박사아카데미입시진학지도교습소","서울특별시 강남구 역삼로 450","/ 2층 201호 (대치동)","입시.검정 및 보습","진학지도","진학상담1","진학상담지도","42","6","","Y","N","06201","개원","20180201","","","20180201","20220508"
"도봉구","교습소","3000031012","엠앤엠(M&M)수학교습소","서울특별시 도봉구 해등로16길 52-36","/ 3층일부 (창동)","입시.검정 및 보습","보통교과","","보습","60","9","","Y","N","01402","개원","20180206","","","20180206","20220508"
"송파구","학원","3000031014","TNC수학원","서울특별시 송파구 올림픽로35길 10","/ 507호/ 508호 (신천동/ 파크리오)","입시.검정 및 보습","보통교과","보습/","보습","200","97","","Y","N","05507","개원","20180206","","","20180206","20220508"
"동작구","학원","3000031016","슈어학원","서울특별시 동작구 대방동길 86","/ 3층 (대방동)","입시.검정 및 보습","보통교과","보습/","보습","492","82","","Y","N","06946","개원","20180205","","","20180205","20220508"
"광진구","학원","3000031020","뮤엠영어학원","서울특별시 광진구 아차산로 493","/ 201호 (광장동)","입시.검정 및 보습","보통교과","보습/","보습","155","72","","Y","N","04984","개원","20180206","","","20180206","20220508"
"서초구","학원","3000031021","한수연과학학원","서울특별시 서초구 방배로37길 7","/ 2층 (방배동)","입시.검정 및 보습","보통교과","보습?논술/","보습?논술","14","78","","Y","N","06561","개원","20180201","","","20180201","20220508"
"송파구","학원","3000031026","혜윰수학/논술학원","서울특별시 송파구 오금로32길 50","/ 2층 (송파동)","입시.검정 및 보습","보통교과","","보습","124","80","","Y","N","05672","개원","20180208","","","20180208","20220508"
"성동구","학원","3000031028","한남옥수소마사고력수학학원","서울특별시 성동구 매봉길 50","/ 126동 208호 (옥수동/ 이편한세상옥수파크힐스)","입시.검정 및 보습","보통교과","보습/","보습","12","67","","Y","N","04731","개원","20180208","","","20180208","20220508"
"동작구","교습소","3000031029","라온수학교습소","서울특별시 동작구 여의대방로10길 59","/ 보라매파크빌아파트 상가동 201호 (신대방동/ 보라매파크빌아파트)","입시.검정 및 보습","보통교과","초등수학","보습","12","6","초등수학:270000/ 중등수학:300000","Y","N","07063","개원","20180208","","","20180208","20220508"
"관악구","교습소","3000031030","쉽게배우는수학수학교습소","서울특별시 관악구 난우10길 13","/ 1층 일부 (신림동)","입시.검정 및 보습","보통교과","초등수학A","보습","30","6","초등수학A:150000/ 초등수학B:160000/ 중등수학A:200000/ 중등수학B:230000/ 고등수학:300000","Y","N","08850","개원","20180208","","","20180208","20220508"
"노원구","교습소","3000031033","혜윰수학교습소","서울특별시 노원구 마들로 31","/ 408호 일부 (월계동/ 그랑빌아파트 주상가동)","입시.검정 및 보습","보통교과","","보습","36","4","초등수학A:110000/ 초등수학B:160000/ 초등수학C:180000/ 초등수학D:210000/ 중등수학A:170000/ 중등수학B:210000/ 중등수학C:250000/ 중등수학D:250000/ 고등수학A:250000/ 고등수학B:300000/ 고등수학E:300000/ 초등수학A:110000/ 초등수학B:150000/ 초등수학C:170000/ 초등수학D:220000/ 중등수학A:170000/ 중등수학B:250000/ 중등수학C:250000/ 고등수학A:250000/ 고등수학B:300000","Y","N","01913","개원","20180209","","","20180209","20220508"
"노원구","학원","3000031034","옳은국어논술전문학원","서울특별시 노원구 노원로 257","/ 701호일부 (하계동/ 인정빌딩)","입시.검정 및 보습","보통교과","","보습?논술","150","117","","Y","N","01791","개원","20090210","","","20090210","20220508"
"구로구","교습소","3000031035","문선생영어교습소","서울특별시 구로구 경인로 643","/ 205동 207호 (신도림동/ 신도림2차동아아파트)","입시.검정 및 보습","보통교과","초등영어(일120분*주3회*4.2주)","보습","24","4","초등영어(일120분*주3회*4.2주):200000/ 초등영어(일180분*주2회*4.2주):200000/ 중등영어(일120분*주3회*4.2주):200000/ 중등영어(일180분*주2회*4.2주):200000/ 영어고등(일180분*주2회*4.2주):230000/ 영어고등(일120분*주3회*4.2주):230000","Y","N","08208","개원","20180205","","","20180205","20220508"
"서초구","교습소","3000031037","102수학교습소","서울특별시 서초구 방배로43길 21","/ 1층 107호 일부 (방배동/ 삼호아파트)","입시.검정 및 보습","보통교과","초등수학","보습","52","4","초등수학:200000/ 중등수학:240000/ 초등수학:140000/ 초등수학:70000/ 초등수학:190000/ 초등수학:70000/ 초등수학:100000/ 초등수학:140000/ 초등수학:160000/ 초등수학:170000/ 초등수학:190000/ 초등수학:200000/ 중등수학:240000","Y","N","06556","개원","20180207","","","20180207","20220508"
"양천구","교습소","3000031042","올스타(ALL-STAR ENGLISH)영어교습소","서울특별시 양천구 중앙로32길 61","/ 4층406호 (신정동)","입시.검정 및 보습","보통교과","","보습","12","4","","Y","N","08087","개원","20180212","","","20180212","20220508"
"영등포구","학원","3000031045","대치하이영어전문학원","서울특별시 영등포구 당산로38길 7","/ 2층 (당산동4가)","입시.검정 및 보습","보통교과","","보습","70","72","","Y","N","07220","개원","20180212","","","20180212","20220508"
"용산구","학원","3000031046","중앙스카이(SKY)학원","서울특별시 용산구 후암로 42-1","/ 3층 (후암동)","입시.검정 및 보습","보통교과","","보습","84","70","","Y","N","04331","개원","20180208","","","20180208","20220508"
"동작구","학원","3000031055","더강한수학학원","서울특별시 동작구 여의대방로 216","/ 지101호","입시.검정 및 보습","보통교과","보습/","보습","129","70","","Y","N","06945","개원","20180209","","","20180209","20220508"
"강서구","교습소","3000031059","원스카이수학교습소","서울특별시 강서구 공항대로41길 51","/ 2층 214호 (등촌동)","입시.검정 및 보습","보통교과","","보습","8","4","","Y","N","07586","개원","20180213","","","20180213","20220508"
"양천구","교습소","3000031060","글/다온논술/역사논술교습소","서울특별시 양천구 월정로50길 12","/ 2층 (신월동)","입시.검정 및 보습","보통교과","논술초등","보습","10","8","논술초등:110000/ 논술중등:150000","Y","N","07903","개원","20180213","","","20180213","20220508"
"성북구","학원","3000031067","디엔에이(DNA)영어학원","서울특별시 성북구 북악산로 851","/ 3층 304호/ 305호/ 306호 (정릉동/ 정릉2차 e-편한세상)","입시.검정 및 보습","보통교과","","보습","216","72","","Y","N","02818","개원","20180205","","","20180205","20220508"
"강동구","교습소","3000031068","플렉스(FLEX)영어교습소","서울특별시 강동구 동남로65길 6","/ 3층 전체 (명일동)","입시.검정 및 보습","보통교과","고등영어2(주2회/회180분)","보습","21","7","고등영어2(주2회/회180분):300000/ 고등영어(주3회/회180분):400000/ 고등영어3(주3회/회180분):450000","Y","Y","05271","개원","20180214","","","20180214","20220508"
"금천구","교습소","3000031072","다비수금천지사수학교습소","서울특별시 금천구 금하로 816","/ 211호 (시흥동/ 벽산아파트5단지상가)","입시.검정 및 보습","보통교과","심화사고력((일60분*주2회+일100분*주1회)*4.2주)","보습","20","4","","Y","N","08646","개원","20180214","","","20180214","20220508"
"금천구","교습소","3000031073","에듀매쓰큐(Q)수학교습소","서울특별시 금천구 금하로 816","/ 210호 (시흥동/ 벽산아파트5단지상가)","입시.검정 및 보습","보통교과","심화사고력((일60분*주2회+일100분*주1회)*4.2주)","보습","24","4","","Y","N","08646","개원","20180214","","","20180214","20220508"
"노원구","교습소","3000031077","해법셀파수학교습소","서울특별시 노원구 동일로175길 20","/ 1층 일부 (공릉동)","입시.검정 및 보습","보통교과","","보습","15","5","","Y","N","01858","개원","20180219","","","20180219","20220508"
"서초구","학원","3000031081","비상잉글리시아이방배분원학원","서울특별시 서초구 청두곶길 55","/ 2층 (방배동)","입시.검정 및 보습","보통교과","보습?논술/","보습?논술","32","69","","Y","N","06677","개원","20180219","","","20180219","20220508"
"광진구","교습소","3000031082","닥터엠고등수학교습소","서울특별시 광진구 아차산로 552","/ 310호 (광장동/ 광장극동아파트)","입시.검정 및 보습","보통교과","","보습","12","3","","Y","N","04971","개원","20180212","","","20180212","20220508"
