Review Text
A definite must see Movie !!! Alot of different emotions which had a Happy Ending !!  :)
Less songs and more excitement. The new version was the best version of The Little Mermaid.
"It was soooo good,  visual effects were amazing,  story was great,  acting and singing was amazing!"
The movie was excellent
It was just like the animated movie
This movie was really good.  I'm glad there were slight changes but didn't stray too far from the Disney version.  I've already seen it twice
"It was a cute movie, but the script felt forced, like they were trying to hard to bring in aspects from the original animated film. Overall very cute movie, just was not very well put together, felt like it was patched up into a bunch of random scenes."
best live action remake by far
They could of done a better job at making Ariel look like Ariel. Her hair was not even close to being red which is a big part of her costume and just makes the character. Most of the storyline was on point.
"It was a delightful, beautiful movie. The music, the actors the visual effects were all amazing. I highly recommend it."
Loved that Disney kept all the original scenes and added some really good extras !
"Overall I can't say it says good as the original, however it respects it and is clearly made with love and affection for it. So I would say it's well worth your time!"
Blew our expectations out of the water! Ha ha!
The recliner seats were very comfy!
Im sorry but it was horrible.
"It was magical! 10/10...I loved everything about this movie...the casting, the singing, the whole thing took me right back to my childhood."
"I didnt care for Prince Erics solo song.  Other than that, the movie was fantastic."
Beautifully done!!!!
The movie was excellent! Both my teenage daughters absolutely loved it! Halle Bailey did a fantastic job with her role as Ariel. We plan to see it again before it leaves the theatre.
Amazing depiction of aquatic life!!!
It's a great reemagining of the beloved animated movie!! Give it a chance. I absolute loved it!!!!!!
Solid remake that properly honored the original.
Halle Bailey was brilliant! Must see this gorgeous talent!
The graphics was on point a well put together film.
Cinematography was Fabulous- 3D was Fabulous - music was Fabulous! Loved it!
The movie was visually stunning. Loved seeing the old animated movie come to life. Loved all of the actors. Lots of action and reminded be a bit of Pirates of the Caribbean. A fun summer movie
Movie was real good.   Very good story line
"Loved the movie 
True to storyline 
Awesome music"
TheLittleMermaid was EXCELLENT and so culturally diverse. Loved it! Definitely worth the 34 year wait.
"Loved this rendition of my favorite Disney Princess movie! Literal tears, Halle was phenomenal!"
"Ariel can sing.  The movie reminds me in cartoon.  Great job!  However,  I expected the girl with red hair, but there's no such girl with natural red hair like the cartoon."
Loved everything about it!
"This version was true to the original, I appreciated the new songs that were added, they were good and still in the style of the original soundtrack. The final scene was very intense and well done. CGI characters were not quite as lovable and comical as animated ones. We enjoyed the movie very much"
Loved it’s from beginning to end!
"Absolutely love, the story and animation have been close to my heart and to see it live send me into almost happy tears. A wonderful movie"
the 3d was a little blurry
The cast was amazing and Lin Manuel is a pure genius with song writing. And Halle is Ariel!
"Well done story, beautiful CGI and acting, incredible perfomance by Halle Bailey! The Crab needs his movie clearly."
Why didn’t they hire someone with the accent for Sebastian? Also Awkwafina isn’t that good for her to be booking all these roles. Her voice is just grating.
"Being a father who has had his child withheld from him, knowing with all your power yet feeling completely powerless, willing to give up anything just to make them feel safe. And the pain in knowing i will one day have to let my baby go It definitely got to me."
It was a little tear jerker at the end.
It was good but I wish it was more like the original version.
Great movie. I love the change to the ending.
Very culturally diverse great graphics beautifully made. It captured my ninth month old daughters attention a great deal.
