danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.674,0.832,5,-5.2,1,0.0894,0.0714,0.0,0.714,0.761,159.995,audio_features,7gs7h249FMYC3U02BimoD6,spotify:track:7gs7h249FMYC3U02BimoD6,https://api.spotify.com/v1/tracks/7gs7h249FMYC3U02BimoD6,https://api.spotify.com/v1/audio-analysis/7gs7h249FMYC3U02BimoD6,207837,4
0.711,0.823,0,-3.49,1,0.079,0.187,0.0,0.208,0.701,122.122,audio_features,2KqYLFNTX2HXzYH4bucBKa,spotify:track:2KqYLFNTX2HXzYH4bucBKa,https://api.spotify.com/v1/tracks/2KqYLFNTX2HXzYH4bucBKa,https://api.spotify.com/v1/audio-analysis/2KqYLFNTX2HXzYH4bucBKa,206757,4
0.706,0.694,11,-5.555,0,0.0722,0.149,0.0,0.11,0.586,134.96,audio_features,782QoB4jJ7hEVJmkYzVrRE,spotify:track:782QoB4jJ7hEVJmkYzVrRE,https://api.spotify.com/v1/tracks/782QoB4jJ7hEVJmkYzVrRE,https://api.spotify.com/v1/audio-analysis/782QoB4jJ7hEVJmkYzVrRE,203818,4
0.614,0.842,1,-2.751,1,0.075,0.0814,0.0,0.0744,0.705,94.907,audio_features,1O7qPyMtudzP3APaOT2OTH,spotify:track:1O7qPyMtudzP3APaOT2OTH,https://api.spotify.com/v1/tracks/1O7qPyMtudzP3APaOT2OTH,https://api.spotify.com/v1/audio-analysis/1O7qPyMtudzP3APaOT2OTH,189813,4
0.774,0.785,9,-4.619,1,0.216,0.022,0.0,0.138,0.646,104.959,audio_features,1ni3URO3waGQI8R6GNZ6sz,spotify:track:1ni3URO3waGQI8R6GNZ6sz,https://api.spotify.com/v1/tracks/1ni3URO3waGQI8R6GNZ6sz,https://api.spotify.com/v1/audio-analysis/1ni3URO3waGQI8R6GNZ6sz,196837,4
0.164,0.0216,0,-22.785,0,0.428,0.145,0.991,0.268,0.013,80.617,audio_features,1Vxx4lP5fRdm4A18AwNGBu,spotify:track:1Vxx4lP5fRdm4A18AwNGBu,https://api.spotify.com/v1/tracks/1Vxx4lP5fRdm4A18AwNGBu,https://api.spotify.com/v1/audio-analysis/1Vxx4lP5fRdm4A18AwNGBu,164955,5
0.315,0.988,1,-13.647,1,0.0625,0.0354,0.743,0.798,0.029,126.057,audio_features,49in3cjv5iMex3ajzSl47a,spotify:track:49in3cjv5iMex3ajzSl47a,https://api.spotify.com/v1/tracks/49in3cjv5iMex3ajzSl47a,https://api.spotify.com/v1/audio-analysis/49in3cjv5iMex3ajzSl47a,195095,1
0.161,0.711,1,-25.374,1,0.0666,0.00261,0.918,0.431,0.0288,110.78,audio_features,7gqGg9Fax0OdHyOcpatuL3,spotify:track:7gqGg9Fax0OdHyOcpatuL3,https://api.spotify.com/v1/tracks/7gqGg9Fax0OdHyOcpatuL3,https://api.spotify.com/v1/audio-analysis/7gqGg9Fax0OdHyOcpatuL3,208000,5
0.211,0.532,1,-26.652,1,0.0559,0.257,0.888,0.137,0.0684,109.242,audio_features,5wasNCesFpY5wSiYTar3uL,spotify:track:5wasNCesFpY5wSiYTar3uL,https://api.spotify.com/v1/tracks/5wasNCesFpY5wSiYTar3uL,https://api.spotify.com/v1/audio-analysis/5wasNCesFpY5wSiYTar3uL,144567,5
0.235,0.647,1,-23.065,1,0.0733,0.074,0.858,0.402,0.11,61.624,audio_features,12YwouliX4zdxGoI9jArlO,spotify:track:12YwouliX4zdxGoI9jArlO,https://api.spotify.com/v1/tracks/12YwouliX4zdxGoI9jArlO,https://api.spotify.com/v1/audio-analysis/12YwouliX4zdxGoI9jArlO,110713,4
0.0767,0.772,1,-19.275,1,0.0637,0.0029,0.961,0.92,0.00475,82.935,audio_features,1fK6fnY1WSGzInlketXt6D,spotify:track:1fK6fnY1WSGzInlketXt6D,https://api.spotify.com/v1/tracks/1fK6fnY1WSGzInlketXt6D,https://api.spotify.com/v1/audio-analysis/1fK6fnY1WSGzInlketXt6D,112000,4
0.168,0.376,1,-34.116,1,0.094,0.219,0.941,0.378,0.0314,83.33,audio_features,0GdhZriQakFwHQZTrgoWKd,spotify:track:0GdhZriQakFwHQZTrgoWKd,https://api.spotify.com/v1/tracks/0GdhZriQakFwHQZTrgoWKd,https://api.spotify.com/v1/audio-analysis/0GdhZriQakFwHQZTrgoWKd,176843,3
