시·군·구별(1),시·군·구별(2),계(사회복지사),계(의사(계약의사포함)),계(간호사),계(간호조무사),계(치과위생사),계(물리(작업)치료사),계(요양보호사),계(영양사),계(사회복지사),재가(의사(계약의사포함)),재가(간호사),재가(간호조무사),재가(치과위생사),재가(물리(작업)치료사),재가(요양보호사),재가(영양사),시설(사회복지사),시설(계약의사포함),시설(간호사),시설(간호조무사),시설(치과위생사),시설(물리(작업)치료사),시설(요양보호사),시설(영양사)
경북,군위군,29,1,-,9,-,3,385,2,22,-,-,4,-,1,331,-,7,1,-,5,-,3,54,2
경북,의성군,77,10,2,26,-,6,961,3,53,-,-,5,-,1,783,-,24,10,2,24,-,6,197,3
경북,청송군,31,6,2,13,-,4,393,3,22,1,-,2,-,3,275,-,9,6,2,12,-,4,119,3
경북,영양군,18,6,-,10,-,2,334,2,12,-,-,2,-,-,265,-,6,6,-,9,-,2,78,2
경북,영덕군,53,1,-,24,-,2,592,2,48,-,-,14,-,-,516,-,5,1,-,11,-,2,81,2
경북,청도군,76,6,4,37,-,4,831,3,59,-,1,21,-,1,696,-,17,6,3,17,-,3,145,3
경북,고령군,25,4,3,11,-,2,379,1,18,-,1,3,-,-,308,-,7,4,2,8,-,2,71,1
경북,성주군,46,7,3,17,-,3,492,1,34,1,-,10,-,-,400,-,12,7,3,11,-,3,92,1
경북,칠곡군,79,16,5,45,-,10,1079,7,46,-,1,18,-,2,820,1,33,16,4,35,-,10,263,6
경북,예천군,47,4,6,14,-,6,734,2,39,-,3,4,-,1,632,-,9,4,3,11,-,5,106,2
경북,봉화군,19,6,2,13,-,5,353,5,13,-,-,2,-,2,226,-,6,6,2,13,-,5,128,5
경북,울진군,54,3,1,14,-,3,671,3,48,-,-,8,-,1,603,-,6,3,1,6,-,3,77,3
경북,울릉군,3,1,1,1,-,-,31,-,1,-,1,-,-,-,19,-,2,1,-,1,-,-,14,-
경남,소계,2005,142,179,674,1,138,32570,96,1638,3,91,334,1,25,28803,9,370,141,91,385,-,127,4039,90
경남,창원시의창구,121,13,15,39,-,10,2842,4,96,1,12,21,-,4,2608,-,25,13,4,23,-,8,243,4
경남,창원시성산구,28,1,1,9,-,-,716,-,26,-,1,8,-,-,708,-,2,1,-,2,-,-,8,-
경남,창원시마산합포구,104,11,14,36,1,9,2692,9,84,-,11,15,1,-,2467,1,20,11,3,22,-,9,236,8
경남,창원시마산회원구,79,4,8,13,-,4,2013,1,70,-,4,7,-,1,1929,-,9,4,4,7,-,4,87,1
경남,창원시진해구,75,8,8,36,-,7,1785,4,60,-,3,12,-,2,1605,-,15,8,5,25,-,7,186,4
경남,진주시,256,18,28,59,-,12,4287,9,214,-,14,30,-,1,3893,2,42,18,14,31,-,12,414,9
경남,통영시,63,2,5,22,-,6,851,5,52,-,-,12,-,-,689,1,11,2,5,11,-,6,171,4
경남,사천시,119,7,7,40,-,10,1631,5,84,-,1,16,-,2,1356,1,35,7,6,30,-,9,284,5
경남,김해시,169,13,22,69,-,8,3377,6,145,-,13,40,-,4,3101,-,25,13,9,30,-,7,290,6
경남,밀양시,108,12,4,48,-,8,1584,4,88,-,2,28,-,2,1381,2,20,12,3,25,-,7,227,2
경남,거제시,81,4,13,18,-,6,1340,4,68,-,4,11,-,-,1197,-,13,4,9,7,-,6,147,4
경남,양산시,136,12,9,70,-,16,2715,9,109,-,3,42,-,5,2409,-,28,12,6,35,-,12,325,9
경남,의령군,39,3,3,12,-,2,636,1,32,-,3,5,-,-,573,-,7,3,-,7,-,2,71,1
경남,함안군,90,9,4,24,-,5,1411,3,68,-,2,8,-,2,1262,1,22,9,2,18,-,4,158,2
경남,창녕군,70,5,4,16,-,1,947,1,61,-,4,9,-,1,859,-,9,5,1,9,-,1,91,1
경남,고성군,57,4,-,16,-,3,801,5,45,-,-,5,-,-,688,-,12,4,-,14,-,3,122,5
경남,남해군,67,5,-,19,-,3,1168,3,62,1,-,10,-,-,1075,-,5,4,-,10,-,3,99,3
경남,하동군,87,7,10,22,-,4,1289,3,77,1,4,9,-,-,1144,-,10,7,6,14,-,4,153,3
경남,산청군,68,10,10,26,-,7,1130,6,50,-,3,11,-,-,885,-,18,10,7,16,-,7,258,6
경남,함양군,64,4,2,29,-,6,789,3,48,-,2,11,-,1,656,-,16,4,-,21,-,5,145,3
경남,거창군,75,3,7,31,-,4,662,4,62,-,4,19,-,-,515,-,13,3,3,13,-,4,149,4
경남,합천군,52,6,6,20,-,7,612,7,39,-,2,5,-,-,440,1,13,6,4,15,-,7,176,6
제주,소계,318,47,108,162,-,59,3943,35,196,5,44,58,-,3,2510,-,122,46,66,119,-,56,1478,35
제주,제주시,218,28,82,108,-,38,2985,23,139,2,42,39,-,2,2011,-,79,27,42,79,-,36,1008,23
제주,서귀포시,101,21,26,54,-,21,982,12,58,3,2,19,-,1,521,-,43,21,24,40,-,20,470,12
