행정구역,총인구수,60세 이상 인구수,60세 이상 인구수 비율,총의사수,총병상수,총병원수
전라남도 보성군 (4678000000),39183,20039,51.14207692,103,1630,75
경상북도 영양군 (4776000000),16263,8318,51.14677489,26,73,21
경상남도 산청군 (4886000000),34196,17593,51.44753772,64,412,60
경상북도 봉화군 (4792000000),30572,15770,51.58314798,45,352,36
경상북도 청송군 (4775000000),24555,12765,51.98533903,52,391,43
경상북도 청도군 (4782000000),41734,21904,52.48478459,92,1570,69
전라남도 고흥군 (4677000000),62530,33608,53.74700144,138,1844,107
경상남도 합천군 (4889000000),42613,22939,53.83099054,92,1028,78
경상북도 군위군 (4772000000),23314,12882,55.25435361,32,125,35
경상북도 의성군 (4773000000),50609,28429,56.17380308,95,1572,82
