시/도,구,65세이상 노인인구,시설수,정원,현원,종사자수
충북,보은군,"11,217",5,272,231,159
충북,옥천군,"15,080",14,406,383,247
충북,영동군,"15,082",23,600,423,266
충북,증평군,"6,416",11,287,242,162
충북,진천군,"13,762",15,399,344,227
충북,괴산군,"13,157",14,307,243,174
충북,음성군,"19,978",22,780,697,466
충북,단양군,"9,026",9,204,194,138
충남,충남합계,"405,188",312,"10,905","9,172","6,383"
충남,천안시,"72,151",67,"2,109","1,900","1,283"
충남,공주시,"27,675",20,823,696,488
충남,보령시,"26,211",13,464,332,235
충남,아산시,"42,355",33,"1,138",865,590
충남,서산시,"32,436",24,"1,035",917,631
충남,논산시,"31,095",30,935,820,553
충남,계룡시,"5,141",9,243,214,154
충남,당진시,"31,331",17,852,772,563
충남,금산군,"16,075",21,438,332,237
충남,부여군,"22,683",17,692,589,419
충남,서천군,"18,988",9,373,323,234
충남,청양군,"11,059",7,250,211,159
충남,홍성군,"24,005",13,455,387,277
충남,예산군,"24,627",21,614,491,336
충남,태안군,"19,356",11,484,323,224
전북,전북합계,"386,203",237,"8,376","6,940","4,787"
전북,전주시,"98,562",41,"1,400","1,221",864
전북,군산시,"50,700",31,"1,459","1,156",774
전북,익산시,"56,167",45,"1,619","1,328",900
전북,정읍시,"30,258",23,509,410,301
전북,남원시,"22,694",12,604,511,356
전북,김제시,"26,322",20,547,440,312
전북,완주군,"21,410",16,736,576,397
전북,진안군,"8,898",9,219,191,132
전북,무주군,"8,075",6,209,190,122
전북,장수군,"7,557",4,101,91,58
전북,임실군,"9,952",7,195,155,109
전북,순창군,"9,455",5,147,140,99
전북,고창군,"18,782",8,248,226,148
전북,부안군,"17,371",10,383,305,215
전남,전남합계,"435,880",304,"9,367","8,100","5,470"
전남,목포시,"37,827",31,951,784,510
전남,여수시,"54,587",31,866,767,538
전남,순천시,"44,445",27,949,884,622
전남,나주시,"25,986",18,585,524,317
전남,광양시,"20,188",17,362,345,241
전남,담양군,"14,436",18,499,415,282
전남,곡성군,"10,185",9,282,237,193
전남,구례군,"8,882",5,303,208,150
전남,고흥군,"26,298",15,666,579,367
전남,보성군,"15,603",6,150,143,95
전남,화순군,"16,791",14,447,395,238
전남,장흥군,"12,928",5,198,193,117
전남,강진군,"12,035",8,190,160,111
전남,해남군,"22,293",20,457,415,297
전남,영암군,"14,400",11,332,270,182
전남,무안군,"17,528",18,589,419,284
전남,함평군,"11,720",12,433,369,246
전남,영광군,"15,488",10,363,313,211
전남,장성군,"13,400",7,256,220,145
전남,완도군,"16,244",11,284,266,182
전남,진도군,"10,325",4,114,114,78
전남,신안군,"14,291",7,91,80,64
경북,경북합계,"573,715",410,"14,631","11,795","7,971"
경북,포항시,"87,960",40,"1,453","1,166",780
경북,경주시,"57,313",23,746,619,425
경북,김천시,"32,520",44,"1,304",899,617
경북,안동시,"39,193",16,871,692,434
경북,구미시,"39,998",45,"1,497","1,251",891
경북,영주시,"28,146",23,925,791,500
경북,영천시,"28,871",18,508,418,282
경북,상주시,"30,472",20,814,712,449
경북,문경시,"21,600",20,672,581,396
경북,경산시,"44,579",53,"1,641","1,320",904
경북,군위군,"9,461",4,146,129,88
경북,의성군,"21,478",18,604,464,335
경북,청송군,"9,382",5,313,279,187
경북,영양군,"6,278",5,192,178,118
경북,영덕군,"13,750",5,286,192,128
경북,청도군,"16,027",15,428,330,231
경북,고령군,"9,941",7,273,171,115
경북,성주군,"13,971",8,315,219,147
경북,칠곡군,"18,335",25,741,603,445
경북,예천군,"16,844",6,305,259,162
경북,봉화군,"11,567",6,360,323,209
경북,울진군,"13,643",3,213,175,113
경북,울릉군,"2,386",1,24,24,15
경남,경남합계,"580,258",242,"10,888","9,291","6,199"
경남,창원시,"150,905",48,"2,178","1,798","1,213"
경남,진주시,"59,032",28,"1,139",974,667
경남,통영시,"25,137",8,424,372,251
경남,사천시,"24,604",17,772,658,447
경남,김해시,"61,857",16,753,669,430
경남,밀양시,"29,887",17,566,493,329
경남,거제시,"26,869",5,340,333,223
경남,양산시,"48,495",22,783,708,490
경남,의령군,"9,921",5,236,145,99
경남,함안군,"16,086",12,422,356,230
경남,창녕군,"19,105",7,231,221,146
경남,고성군,"16,095",10,370,281,203
경남,남해군,"16,258",4,280,231,150
경남,하동군,"15,490",9,392,374,239
경남,산청군,"12,833",10,594,557,355
경남,함양군,"13,227",9,493,357,234
경남,거창군,"17,026",9,398,340,225
경남,합천군,"17,431",6,517,424,268
제주,제주합계,"106,154",66,"3,864","3,365","2,291"
제주,제주시,"70,720",45,"2,676","2,281","1,547"
제주,서귀포시,"35,434",21,"1,188","1,084",744
